id,sportsbook,event_id,sport,league,home_team,away_team,market_type,selection,selection_type,odds_american,odds_decimal,odds_probability,line,event_start_time,is_live,timestamp
127461248872090,kalshi,kalshi_fut_kxmlballstar_26al,baseball,mlb,MVARGAS20 Miguel Vargas,,outright,Will Miguel Vargas be selected to the 2026 AL All-Star Team?: Yes,outright,-4900,1.02,0.98,,2026-07-06T15:48:16Z,False,2026-07-13T01:45:58.576582333Z
173624044546294,kalshi,kalshi_fut_kxmlballstar_26al,baseball,mlb,ACHAPMAN44 Aroldis Chapman,,outright,Will Aroldis Chapman be selected to the 2026 AL All-Star Team?: Yes,outright,-4900,1.02,0.98,,2026-07-06T15:48:16Z,False,2026-07-13T01:45:58.576582333Z
173908605271779,kalshi,kalshi_fut_kxmlballstar_26al,baseball,mlb,BWITT7 Bobby Witt Jr.,,outright,Will Bobby Witt Jr. be selected to the 2026 AL All-Star Team?: Yes,outright,-4900,1.02,0.98,,2026-07-06T15:48:16Z,False,2026-07-13T01:45:58.576582333Z
185025058308297,kalshi,kalshi_fut_kxmlballstar_26al,baseball,mlb,ARUTSCHMAN35 Adley Rutschman,,outright,Will Adley Rutschman be selected to the 2026 AL All-Star Team?: Yes,outright,-4900,1.02,0.98,,2026-07-06T15:48:16Z,False,2026-07-13T01:45:58.576582333Z
186193569666711,kalshi,kalshi_fut_kxmlballstar_26al,baseball,mlb,YALVAREZ44 Yordan Alvarez,,outright,Will Yordan Alvarez be selected to the 2026 AL All-Star Team?: Yes,outright,-4900,1.02,0.98,,2026-07-06T15:48:16Z,False,2026-07-13T01:45:58.576582333Z
247756833011165,kalshi,kalshi_fut_kxmlballstar_26al,baseball,mlb,NKURTZ16 Nick Kurtz,,outright,Will Nick Kurtz be selected to the 2026 AL All-Star Team?: Yes,outright,-4900,1.02,0.98,,2026-07-06T15:48:16Z,False,2026-07-13T01:45:58.576582333Z
257640480791316,kalshi,kalshi_fut_kxmlballstar_26al,baseball,mlb,CSMITH36 Cade Smith,,outright,Will Cade Smith be selected to the 2026 AL All-Star Team?: Yes,outright,-4900,1.02,0.98,,2026-07-06T15:48:16Z,False,2026-07-13T01:45:58.576582333Z
45017844063904,kalshi,kalshi_fut_kxmlballstar_26al,baseball,mlb,VGUERRERO27 Vladimir Guerrero Jr.,,outright,Will Vladimir Guerrero Jr. be selected to the 2026 AL All-Star Team?: Yes,outright,-4900,1.02,0.98,,2026-07-06T15:48:16Z,False,2026-07-13T01:45:58.576582333Z
9898765061273,kalshi,kalshi_fut_kxmlballstar_26al,baseball,mlb,RAROZARENA56 Randy Arozarena,,outright,Will Randy Arozarena be selected to the 2026 AL All-Star Team?: Yes,outright,-1567,1.064,0.94,,2026-07-06T15:48:16Z,False,2026-07-13T01:45:58.576582333Z
28771656476449,kalshi,kalshi_fut_kxmlballstar_26nl,baseball,mlb,FFREEMAN5 Freddie Freeman,,outright,Will Freddie Freeman be selected to the 2026 NL All-Star Team?: Yes,outright,-4900,1.02,0.98,,2026-07-06T16:00:02Z,False,2026-07-13T01:45:58.576582333Z
154692619748757,kalshi,kalshi_fut_kxmlballstar_26nl,baseball,mlb,CCARROLL7 Corbin Carroll,,outright,Will Corbin Carroll be selected to the 2026 NL All-Star Team?: Yes,outright,-1900,1.053,0.95,,2026-07-06T16:00:03Z,False,2026-07-13T01:45:58.576582333Z
187576966845044,kalshi,kalshi_fut_kxmlballstar_26nl,baseball,mlb,SSTEWART27 Sal Stewart,,outright,Will Sal Stewart be selected to the 2026 NL All-Star Team?: Yes,outright,-1900,1.053,0.95,,2026-07-06T16:00:03Z,False,2026-07-13T01:45:58.576582333Z
242889699763062,kalshi,kalshi_fut_kxmlballstar_26nl,baseball,mlb,PSKENES30 Paul Skenes,,outright,Will Paul Skenes be selected to the 2026 NL All-Star Team?: Yes,outright,-4900,1.02,0.98,,2026-07-06T16:00:03Z,False,2026-07-13T01:45:58.576582333Z
87415776079532,kalshi,kalshi_fut_kxmlballstar_26nl,baseball,mlb,CBURNS26 Chase Burns,,outright,Will Chase Burns be selected to the 2026 NL All-Star Team?: Yes,outright,-4900,1.02,0.98,,2026-07-06T16:00:03Z,False,2026-07-13T01:45:58.576582333Z
251898253042045,kalshi,kalshi_fut_kxmlbhrderbyqual_26,baseball,mlb,JCAMINERO13 Junior Caminero,,outright,Will Junior Caminero be selected to the 2026 Pro Baseball Home Run Derby?: Yes,outright,-3233,1.031,0.97,,2026-07-07T19:06:11Z,False,2026-07-13T01:45:58.576582333Z
16424438453008,polymarket,mlb__2871615juniorcaminer_2026-07-10_b2,baseball,mlb,,,outright,Will Junior Caminero advance to the finals of the 2026 MLB Home Run Derby?: Yes,outright,264,3.64,0.2747,,2026-07-10T16:13:03.133685Z,False,2026-07-13T01:45:50.346549977Z
